Previous 1929 High,Previous 1929 Low,Stock,Sales,High,Low,Close,Previous Close
,,Man Elec mod,3,38.5,38.25,38.5,39
,,Maracaibo Oil Exp,8,14,13.75,14,13
,,Marlin Rock,5,70.125,69,70.125,71
,,Marmon Motor,6,39,36.125,39,36
,,Martin-Parry,1,6.5,6.5,6.5,7
,,Mathieson Alk,63,61,55.375,56,60.125
,,May Dept Stores,25,84.875,83.125,83.75,83
,,Maytag Co,5,20.625,20,20,21.25
,,Maytag Co pf,5,37.875,37.875,37.875,37.875
,,Melville Shoe,1,54,54,54,55
,,Mengel Co,24,23.5,22.125,22.125,22.5
,,Metro Gold pf,1,24.25,24.125,24.125,22.5
,,Mexican Seaboard,92,24.75,23,24,23
,,Miami Copper,27,39.75,38,39.75,39.5
,,Michigan Steel,1,90,84,84,96
,,Mid-Continent P,23,32.875,32.5,32.5,33
,,Middle States Oil,5,1.875,1.875,1.875,2
,,Middle States Oil et,1,1.375,1.375,1.375,1.5
,,Midland Stl pf,7,261,258,258,261.5
,,Miller Rubber,10,11.125,10.75,10.75,11.125
,,Minn Miline Pwr,19,22.625,21.625,21.625,21.375
,,M St P & SSM pf,1,79,79,79,79.125
,,Mo Kan & Texas,111,56,53.375,55.375,53.5
,,Mo Kan & Texas pf,2,103,102.375,102.375,102.875
,,Missouri Pacific,39,92.125,98.375,90,92
,,Missouri Pacific pf,4,140.5,140,140,140
,,Mohawk Carpet,5,61.5,61,61.25,61.875
,,Montgomery Ward,1053,94,86.25,90.5,89.25
,,Moon Motors,6,2.5,2.5,2.5,2.5
,,Morrell J,3,73,72,72,73
,,Mother Lode,21,2.125,2,2.125,2.125
,,Motion Picture,5,31.5,31,31.5,31.125
,,Motor Meter G & E,3,14.5,12,13.875,14.75
,,Motor Products,4,90,86,86,90
,,Motor Wheel,5,38.5,37.875,37.875,38.25
,,Mullins Mfg,2,28,27,28,28
,,Munsingwear,1,53,53,53,52.75
,,Murraay Corp,54,46.75,45.25,46.25,46
,,"Myer, F.E. & Bro",7,50.75,48.625,49.75,50.25
,,Nashville Motors,53,75.75,73.125,73.375,75.125
,,Nat. Acme,6,31.125,29,29,31
,,Natl Air Trans,1,18.5,18,18.5,18
,,National Bella Hess,8,26.875,25.25,25.25,26
,,National Biscuit,49,213.75,203,207.5,211
,,National Biscuit pf,2,144.25,144,144,144.25
,,National Cash Reg A,109,116,108,108,114
,,National Dairy,103,64,61.625,62.5,63
,,National Dept Stores,7,30,29.875,29.875,30.5
,,National Distillers,20,44,43.5,43.5,44.75
,,National Lead,7,184,181,181,194
,,National Power & Lt,127,44.75,40,41.75,44.125
,,National Radiator,3,4,4,4,4.25
,,National Rys Mex 2d pf,1,1.5,1.5,1.5,1.625
,,National Supply,1,125,123,123,130
,,National Tea,13,59,56.5,56.5,59.125
,,Neisner Brothers,1,94,93,93,95
,,Nevada Copper,106,44.125,40.5,41.25,41.125
,,Newport Co A,3,88.5,85.25,85.25,90
,,Newton Steel,2,82,80,80,84
,,N Y Air Brake,3,45.125,44.625,45,45.875
,,N Y Central,98,217,212.125,215.75,217
,,N Y Chi & St L,7,169.125,168,168,169
,,N Y Chi & St L pf,2,107.5,107.125,107.5,107.5
,,NY NH & Hart,48,124.875,122.5,122.625,125
,,NY NH & Hard pf,10,130,128.5,128.5,129.5
,,N Y Ont & West,11,19,18.25,18.25,19
,,N Y Railways pf,2,4,4,4,4.125
,,Norfolk & Wstn,21,265.5,263,265,264.75
,,North Am,128,127.25,116,116,125
,,North Am Ed pf,2,100.5,100.5,100.5,100.375
,,Northern Pac,4,100,97.75,99,99
,,Northern Pac et,1,97,95,95,95.875
,,Norwalk Tire & Rb,5,1.75,1,1,1.5
,,Oil Well Supply,1,18.25,18.25,18.25,18.5
,,Oliver Farm Equip,11,29.875,28.125,29.875,28
,,Oliver Farm Eq cv pt,4,46,46,46,45.625
,,Oliver Fr Eq pf A,3,85.25,85,85,85
,,Omnibus Corp,16,5.375,5.125,5.375,5.5
,,Oppenheim Col,1,68,68,68,69.25
,,Otis Elevator,7,395,386,386,391.625
,,Otis Steel,34,51.5,50.5,50.875,51.125
,,Owens Ill Glass,5,79,76,76,80
,,Pacific Gas & Electric,95,64,62.5,63.125,60
,,Pacific Lighting,38,102.25,99,100,105.5
,,Pacific Oil stubs,51,1,1,1,1
,,Packard Motor,571,23.25,20.875,22,23.625
,,Pan-Am Petroleum,8,63,86.625,62.625,64
,,Pan-Am Petroleum B,124,64.5,62.25,64.5,63.75
,,Paramount-F-L,160,70.5,68,69,71
,,Park & Tilford,2,48,47,48,48.5
,,Park Utah,22,5.25,5.25,5.25,5.25
,,Pathe Exchange,42,7.75,7,7,7.5
